Company Name,Symbol,ISIN,Listing Price,Date Listed
AIRTEL MALAWI PLC,AIRTEL,MWAIRT001156,12.69,24-Feb-20
BLANTYRE HOTELS PLC,BHL,MWBHL0010029,0.84,25-Mar-97
FDH BANK PLC,FDHB,MWFDHB001166,10,3-Aug-20
FMB CAPITAL HOLDINGS PLC,FMBCH,MWFMB0010138,45.01,18-Sep-17
ICON PROPERTIES PLC,ICON,MWICON001146,8.75,21-Jan-19
ILLOVO SUGAR MALAWI PLC,ILLOVO,MWILLV010032,2.25,10-Nov-97
MALAWI PROPERTY INVESTMENT COMPANY PLC,MPICO,MWMPI0010116,2.25,12-Nov-07
NATIONAL BANK OF MALAWI,NBM,MWNBM0010074,4,21-Aug-00
NBS BANK PLC,NBS,MWNBS0010105,2.6,25-Jun-07
NICO HOLDINGS PLC,NICO,MWNICO010014,2,11-Nov-96
NATIONAL INVESTMENT TRUST PLC,NITL,MWNITL010091,2.65,21-Mar-05
OLD MUTUAL LIMITED,OMU,ZAE000255360,1580.22,26-Jun-18
PRESS CORPORATION PLC,PCL,MWPCL0010053,14.89,9-Sep-09
STANDARD BANK MALAWI PLC,STANDARD,MWSTD0010041,3.25,29-Jun-98
SUNBIRD TOURISM PLC,SUNBIRD,MWSTL0010085,2.6,21-Aug-02
TELEKOM NETWORKS MALAWI PLC,TNM,MWTNM0010126,2,3-Nov-08
